127.0.0.1 - - [26/May/2017:14:27:33 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/May/2017:14:27:36 +0300] "GET /HommyAdministratorService/ HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [26/May/2017:14:28:28 +0300] "GET /HommyAdministratorService/hommy/devices/rules HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/May/2017:14:28:44 +0300] "GET /HommyAdministratorService/hommy/rules HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [26/May/2017:14:29:46 +0300] "GET /HommyAdministratorService/hommy/rules?userId=1 HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [26/May/2017:14:32:28 +0300] "GET /HommyAdministratorService/hommy/rules?userId=1 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [26/May/2017:14:32:57 +0300] "GET /HommyAdministratorService/hommy/rules?userId=1 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [26/May/2017:14:33:35 +0300] "GET /HommyAdministratorService/hommy/rules?userId=1 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [26/May/2017:15:03:24 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [26/May/2017:15:08:05 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:15:12:13 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:15:34:38 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=de HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [26/May/2017:15:43:36 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:15:50:45 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:15:55:45 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:15:56:11 +0300] "GET /HommyAdministratorService/hommy/users/login?username=eeedd&password=dd HTTP/1.1" 200 12
